# workload	cpu_family	host_profile	metric	value	unit
# Daily structural/native-share budgets. They are duplicated deliberately:
# changing one host's policy cannot silently change the other host's gate.
synthetic_68040_lockstep	68040	aarch64	min_blocks_compiled	3	blocks
synthetic_68040_lockstep	68040	aarch64	min_blocks_run	700	blocks
synthetic_68040_lockstep	68040	aarch64	min_native_share_permille	990	permille
synthetic_68040_lockstep	68040	aarch64	max_slow_instrs	0	instructions
synthetic_68040_lockstep	68040	x86_64	min_blocks_compiled	3	blocks
synthetic_68040_lockstep	68040	x86_64	min_blocks_run	700	blocks
synthetic_68040_lockstep	68040	x86_64	min_native_share_permille	990	permille
synthetic_68040_lockstep	68040	x86_64	max_slow_instrs	0	instructions
synthetic_68040_lockstep	68040	any	min_blocks_compiled	3	blocks
synthetic_68040_lockstep	68040	any	min_blocks_run	700	blocks
synthetic_68040_lockstep	68040	any	min_native_share_permille	990	permille
synthetic_68040_lockstep	68040	any	max_slow_instrs	0	instructions
synthetic_68040_copyback	68040	aarch64	max_slow_instrs	4	instructions
synthetic_68040_copyback	68040	aarch64	max_native_ratio_permille	2000	permille
synthetic_68040_copyback	68040	aarch64	native_slack_microseconds	2000	microseconds
synthetic_68040_copyback	68040	x86_64	max_slow_instrs	4	instructions
synthetic_68040_copyback	68040	x86_64	max_native_ratio_permille	2000	permille
synthetic_68040_copyback	68040	x86_64	native_slack_microseconds	2000	microseconds
synthetic_68040_copyback	68040	any	max_slow_instrs	4	instructions
synthetic_68040_copyback	68040	any	max_native_ratio_permille	2000	permille
synthetic_68040_copyback	68040	any	native_slack_microseconds	2000	microseconds

# Macintosh fixed-cycle baselines. The documented x86-64 reference measured
# 5.15x Q605 native / 2.40x LC II threaded. An Apple M4 (Mac16,10), measured
# from immutable disk clones on 2026-08-17, produced 9.50-9.67x / 4.96-5.02x.
# The corrected global A64 store guard plus the compact generated loop measured
# 13.71-13.96x on 2026-08-20; the exact-read/opcode-tail pass measured
# 14.34-14.42x on 2026-08-21. A roughly 13% margin makes the floors regression
# policy, not benchmark-record claims.
q605_jit	68040	reference_x86_64	min_realtime_permille	4500	permille
lcii_threaded	68030	reference_x86_64	min_realtime_permille	2100	permille
q605_jit	68040	apple_m4	min_realtime_permille	12500	permille
lcii_threaded	68030	apple_m4	min_realtime_permille	4300	permille

# Host wall-clock noise floor, in permille (docs/MEASURING.md R2). NOT a
# gate threshold: it is the bar under which `bench::compare` refuses to call
# a delta a claim, in either direction. Measured by a null experiment -- the
# reference arm against itself, POM68K_BENCH_NULL=1 -- never estimated, and
# re-measured when the host changes.
#
# x86_64 = 10 permille, from three null runs on jit_bench_lcii at 1200
# frames, 2026-08-18 (worst arm spread 0.3 / 1.0 / 0.5 %, delta -0.0 / +0.0
# / +0.1 %). The WORST of the three is recorded, not the median: a floor is
# what the host does on its bad afternoons. This replaces the 3 % that
# docs/MEASURING.md first assumed from three SEPARATE invocations -- that
# number priced process start-up and page cache, not the emulator, and at
# 6x too loose it would have buried every real 1-2 % effect.
#
# any = 30 permille, the same conservative 3 %, because an unmeasured host
# has no evidence and a wrong floor must fail towards silence. Measure yours
# before quoting anything close to it.
#
# ASCII only in this file: CMake's file(STRINGS) stops at the first
# non-ASCII byte and hands the parser the tail of the line as a row of its
# own, which fails as "expected six columns" pointing at half a sentence.
host_wallclock	any	x86_64	noise_floor_permille	10	permille
host_wallclock	any	any	noise_floor_permille	30	permille
